Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
July 31 2017,Orange,CA,Passenger,3,1,4,639,643,0.62
November 30 2020,Hillsborough,FL,Passenger,0,1,1,171,172,0.58
July 31 2023,Santa Barbara,CA,Passenger,1,0,1,60,61,1.64
August 31 2022,DeKalb,GA,Passenger,1,0,1,51,52,1.92
May 31 2019,Kootenai,ID,Passenger,1,1,2,217,219,0.91
March 31 2022,Henrico,VA,Passenger,0,1,1,12,13,7.69
February 28 2021,Lake,FL,Passenger,1,0,1,21,22,4.55
September 30 2019,Yakima,WA,Truck,0,0,0,59395,59395,0.00
March 31 2019,Kitsap,WA,Truck,1,0,1,53745,53746,0.00
November 30 2021,Fairbanks North Star,AK,Passenger,0,1,1,75,76,1.32
January 31 2019,Sangamon,IL,Passenger,1,0,1,8,9,11.11
August 31 2021,Howard,IN,Passenger,0,1,1,5,6,16.67
April 30 2023,San Juan,WA,Passenger,605,175,780,13813,14593,5.35
February 29 2020,Adams,WA,Truck,0,0,0,5221,5221,0.00
July 31 2021,Riverside,CA,Passenger,5,1,6,540,546,1.10
January 31 2021,Utah,UT,Passenger,0,1,1,129,130,0.77
February 28 2019,Mecklenburg,NC,Passenger,1,0,1,79,80,1.25
July 31 2020,Alexandria,VA,Passenger,2,0,2,138,140,1.43
September 30 2023,Saratoga,NY,Passenger,1,1,2,29,31,6.45
February 28 2019,Whatcom,WA,Truck,2,0,2,42707,42709,0.00
September 30 2018,Tulsa,OK,Passenger,1,1,2,48,50,4.00
July 31 2022,Currituck,NC,Passenger,1,0,1,21,22,4.55
March 31 2022,Flathead,MT,Passenger,1,0,1,38,39,2.56
August 31 2020,Chelan,WA,Truck,0,0,0,22673,22673,0.00
August 31 2019,Santa Rosa,FL,Passenger,1,0,1,88,89,1.12
May 31 2018,Lewis,WA,Passenger,78,54,132,57560,57692,0.23
June 30 2021,Honolulu,HI,Passenger,5,2,7,415,422,1.66
March 31 2019,Fresno,CA,Passenger,1,0,1,196,197,0.51
January 31 2019,Kern,CA,Passenger,0,1,1,233,234,0.43
May 31 2023,Middlesex,MA,Passenger,2,1,3,63,66,4.55
March 31 2018,Adams,WA,Passenger,5,4,9,12468,12477,0.07
April 30 2023,Henrico,VA,Passenger,0,1,1,5,6,16.67
November 30 2022,Sumter,SC,Passenger,0,1,1,36,37,2.70
December 31 2018,Ferry,WA,Passenger,3,2,5,4384,4389,0.11
March 31 2019,Virginia Beach,VA,Passenger,1,1,2,706,708,0.28
